Société_de_facturation;Société_de_livraison;Code_avancement;Numéro_de_commande;Numéro_de_version;Date_accordée_au_client
01;01;M;C01/NRW249;2020-11-25-08.07.57.780000;15/12/2020
01;01;M;C01/PMA756;2020-11-25-08.07.57.961000;15/12/2020
01;01;M;C01/PQV271A;2020-11-25-08.07.58.043000;15/12/2020
01;01;M;C01/PTK663;2020-11-25-08.07.58.215000;26/11/2020
01;01;M;C01/PYL694;2020-11-25-08.07.58.440000;26/11/2020
01;01;M;C01/PYL694A;2020-11-25-08.07.58.651000;26/11/2020
01;01;M;C01/PZK133;2020-11-25-08.07.58.745000;15/12/2020
01;01;M;C01/QAJ326A;2020-11-25-08.07.58.812000;27/11/2020
01;01;C;C01/QES674;2020-11-25-08.07.59.339000;26/11/2020
01;01;C;C01/QES685;2020-11-25-08.07.59.514000;26/11/2020
01;01;C;C01/QES698;2020-11-25-08.07.59.675000;26/11/2020
01;01;C;C01/QES706;2020-11-25-08.07.59.816000;26/11/2020
01;01;C;C01/QES716;2020-11-25-08.08.00.013000;26/11/2020
01;01;C;C01/QES726;2020-11-25-08.08.00.281000;26/11/2020
01;01;C;C01/QES730;2020-11-25-08.08.00.490000;26/11/2020
01;01;A;C01/QDL868;2020-11-25-08.11.16.275000;21/12/2020
01;01;M;C01/QDX407;2020-11-25-08.11.16.485000;09/12/2020
01;01;M;C01/QEF477;2020-11-25-08.11.16.789000;07/12/2020
01;01;C;C01/QEG117A;2020-11-25-08.11.16.844000;27/11/2020
01;01;C;C01/QES741;2020-11-25-08.11.17.123000;26/11/2020
01;01;C;C01/QES744;2020-11-25-08.11.17.265000;07/12/2020
01;01;C;C01/QES747;2020-11-25-08.11.17.381000;26/11/2020
01;01;C;C01/QES749;2020-11-25-08.11.17.539000;26/11/2020
01;01;C;C01/QES749A;2020-11-25-08.11.17.660000;07/12/2020
01;01;C;C01/QES751;2020-11-25-08.11.17.778000;26/11/2020
01;01;C;C01/QES764;2020-11-25-08.11.17.976000;26/11/2020
01;01;C;C01/QES768;2020-11-25-08.11.18.159000;26/11/2020
01;01;C;C01/QES793;2020-11-25-08.11.18.277000;26/11/2020
01;01;C;C01/QES816;2020-11-25-08.14.34.068000;07/12/2020
01;01;C;C01/QES826;2020-11-25-08.14.34.276000;26/11/2020
01;01;C;C01/QES834;2020-11-25-08.14.34.484000;26/11/2020
01;01;C;C01/QES835;2020-11-25-08.14.34.701000;26/11/2020
01;01;C;C01/QES849;2020-11-25-08.14.34.855000;26/11/2020
01;01;A;C01/NKQ911E;2020-11-25-08.17.50.374000;16/11/2020
01;01;M;C01/PUG797A;2020-11-25-08.17.50.550000;26/10/2020
01;01;A;C01/PVY570;2020-11-25-08.17.50.626000;16/11/2020
01;01;M;C01/QEH407;2020-11-25-08.17.50.685000;08/12/2020
01;01;M;C01/QEJ697;2020-11-25-08.17.50.764000;30/11/2020
01;01;C;C01/QES881;2020-11-25-08.17.50.823000;09/12/2020
01;01;C;C01/QES882;2020-11-25-08.17.50.955000;26/11/2020
01;01;C;C01/QES883;2020-11-25-08.17.51.083000;03/12/2020
01;01;C;C01/QES892;2020-11-25-08.17.51.164000;26/11/2020
01;01;C;C01/QES895;2020-11-25-08.17.51.366000;26/11/2020
01;01;C;C01/QES896;2020-11-25-08.17.51.543000;26/11/2020
01;01;C;C01/QES912;2020-11-25-08.17.51.658000;26/11/2020
01;01;C;C01/QES912A;2020-11-25-08.17.51.765000;30/11/2020
01;01;C;C01/QES913;2020-11-25-08.17.51.817000;07/12/2020
01;01;C;C01/QES939;2020-11-25-08.17.51.916000;26/11/2020
01;01;C;C01/QES944;2020-11-25-08.17.52.021000;26/11/2020
01;01;M;C01/PZG710;2020-11-25-08.21.08.754000;26/11/2020
01;01;A;C01/QAP774;2020-11-25-08.21.08.947000;16/11/2020
01;01;A;C01/QEQ299;2020-11-25-08.21.09.857000;26/11/2020
01;01;C;C01/QES950;2020-11-25-08.21.10.133000;26/11/2020
01;01;C;C01/QES957;2020-11-25-08.21.10.378000;26/11/2020
01;01;C;C01/QES958;2020-11-25-08.21.10.590000;26/11/2020
01;01;C;C01/QES959;2020-11-25-08.21.10.687000;26/11/2020
01;01;C;C01/QES960;2020-11-25-08.21.10.791000;26/11/2020
01;01;C;C01/QES960A;2020-11-25-08.21.10.896000;30/11/2020
01;01;C;C01/QES962;2020-11-25-08.21.10.997000;26/11/2020
01;01;C;C01/QES967;2020-11-25-08.21.11.166000;26/11/2020
01;01;C;C01/QES980;2020-11-25-08.21.11.266000;07/12/2020
01;01;C;C01/QET006;2020-11-25-08.21.11.446000;26/11/2020
01;01;M;C01/PDU944;2020-11-25-08.24.26.947000;23/12/2020
01;01;M;C01/PDU944D;2020-11-25-08.24.27.160000;26/11/2020
